,0,1,2,3,4,5,6,7,8
0,S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,1,2021-07-01,345.00,371.00,345.00,371.00,9.44,"59,338.00","21,472,468.00"
2,2,2021-06-30,328.00,342.00,309.00,339.00,2.11,"46,003.00","14,814,814.00"
3,3,2021-06-29,360.00,361.00,324.00,332.00,-5.95,"37,310.00","12,410,552.00"
4,4,2021-06-28,366.00,372.00,352.00,353.00,-1.94,"14,524.00","5,225,068.00"
5,5,2021-06-27,368.00,372.00,353.00,360.00,-0.55,"29,590.00","10,616,556.00"
6,6,2021-06-24,368.00,372.00,360.00,362.00,-2.69,"32,109.00","11,687,170.00"
7,7,2021-06-23,390.00,392.00,369.00,372.00,-3.38,"42,152.00","16,036,484.00"
8,8,2021-06-22,363.00,385.00,352.00,385.00,6.06,"82,026.00","30,744,101.00"
9,9,2021-06-21,393.00,394.00,363.00,363.00,-7.63,"75,200.00","27,999,403.00"
10,10,2021-06-20,415.00,415.00,373.00,393.00,-3.44,"48,056.00","18,719,539.00"
11,11,2021-06-17,385.00,425.00,385.00,407.00,2.01,"74,149.00","29,807,627.00"
12,12,2021-06-16,421.00,436.00,392.00,399.00,-5.23,"91,503.00","37,297,145.00"
13,13,2021-06-15,450.00,450.00,421.00,421.00,-6.03,"90,258.00","38,788,120.00"
14,14,2021-06-14,450.00,469.00,436.00,448.00,4.43,"151,267.00","68,155,017.00"
15,15,2021-06-13,392.00,429.00,390.00,429.00,10.00,"190,025.00","78,625,090.00"
16,16,2021-06-10,380.00,391.00,363.00,390.00,4.28,"100,127.00","37,383,753.00"
17,17,2021-06-09,400.00,421.00,370.00,374.00,-5.08,"148,680.00","57,592,929.00"
18,18,2021-06-08,376.00,394.00,362.00,394.00,9.75,"139,523.00","53,746,359.00"
19,19,2021-06-07,346.00,370.00,333.00,359.00,3.76,"115,596.00","40,962,008.00"
20,20,2021-06-06,356.00,360.00,334.00,346.00,-2.81,"92,617.00","31,760,192.00"
21,21,2021-06-03,348.00,370.00,348.00,356.00,4.09,"193,498.00","69,613,990.00"
22,22,2021-06-02,339.00,350.00,321.00,342.00,5.88,"100,036.00","33,680,151.00"
23,23,2021-06-01,320.00,335.00,314.00,323.00,-0.62,"76,282.00","24,498,471.00"
24,24,2021-05-31,350.00,350.00,319.00,325.00,-2.69,"149,150.00","49,970,147.00"
25,25,2021-05-30,310.00,334.00,305.00,334.00,9.87,"275,968.00","89,938,909.00"
26,26,2021-05-27,292.00,323.00,283.00,304.00,2.70,"122,947.00","37,001,755.00"
27,27,2021-05-25,300.00,300.00,292.00,296.00,0.00,"64,988.00","19,179,304.00"
28,28,2021-05-24,314.00,326.00,294.00,296.00,-3.90,"172,938.00","52,500,087.00"
29,29,2021-05-23,286.00,314.00,275.00,308.00,7.69,"195,278.00","58,698,320.00"
30,30,2021-05-20,280.00,288.00,274.00,286.00,2.14,"72,329.00","20,263,109.00"
31,31,2021-05-19,298.00,300.00,278.00,280.00,-4.44,"65,740.00","18,695,830.00"
32,32,2021-05-18,278.00,303.00,273.00,293.00,5.40,"102,393.00","29,211,357.00"
33,33,2021-05-17,282.00,285.00,273.00,278.00,0.36,"87,945.00","24,433,940.00"
34,34,2021-05-16,265.00,282.00,265.00,277.00,7.78,"308,503.00","84,625,233.00"
35,35,2021-05-13,248.00,257.00,247.00,257.00,5.33,"58,039.00","14,778,620.00"
36,36,2021-05-12,242.00,248.00,233.00,244.00,0.83,"34,803.00","8,423,853.00"
37,37,2021-05-11,236.00,244.00,236.00,242.00,0.83,"13,393.00","3,233,580.00"
38,38,2021-05-10,240.00,244.00,238.00,240.00,0.42,"9,620.00","2,315,983.00"
39,39,2021-05-09,240.00,244.00,237.00,239.00,-1.65,"10,246.00","2,457,553.00"
40,40,2021-05-06,243.00,249.00,242.00,243.00,-1.22,"11,158.00","2,732,857.00"
41,41,2021-05-05,249.00,249.00,243.00,246.00,-1.20,"16,989.00","4,168,715.00"
42,42,2021-05-04,248.00,249.00,245.00,249.00,-0.40,"28,844.00","7,095,142.00"
43,43,2021-05-03,255.00,257.00,249.00,250.00,-2.72,"18,849.00","4,749,145.00"
44,44,2021-05-02,258.00,262.00,253.00,257.00,-0.39,"35,237.00","8,984,569.00"
45,45,2021-04-29,255.00,265.00,250.00,258.00,2.79,"26,545.00","6,765,575.00"
46,46,2021-04-28,270.00,270.00,246.00,251.00,-4.20,"44,751.00","11,258,608.00"
47,47,2021-04-27,256.00,265.00,253.00,262.00,2.75,"23,904.00","6,164,194.00"
48,48,2021-04-26,270.00,270.00,250.00,255.00,-7.27,"35,952.00","9,335,547.00"
49,49,2021-04-25,300.00,300.00,260.00,275.00,-3.85,"75,000.00","20,577,959.00"
50,50,2021-04-22,265.00,286.00,264.00,286.00,10.00,"154,059.00","43,166,581.00"
51,51,2021-04-21,270.00,280.00,255.00,260.00,-1.89,"156,828.00","41,443,861.00"
52,52,2021-04-20,257.00,271.00,257.00,265.00,3.11,"89,588.00","23,808,155.00"
53,53,2021-04-19,260.00,265.00,250.00,257.00,-3.02,"92,144.00","23,898,061.00"
54,54,2021-04-18,273.00,273.00,245.00,265.00,-1.12,"254,999.00","66,455,995.00"
55,55,2021-04-15,255.00,270.00,248.00,268.00,8.94,"203,014.00","53,743,268.00"
56,56,2021-04-13,235.00,246.00,230.00,246.00,9.82,"246,888.00","60,093,601.00"
57,57,2021-04-12,208.00,224.00,206.00,224.00,9.80,"172,887.00","37,973,403.00"
58,58,2021-04-08,200.00,204.00,195.00,204.00,3.55,"82,607.00","16,440,232.00"
59,59,2021-04-07,190.00,200.00,190.00,197.00,3.68,"57,084.00","11,101,444.00"
60,60,2021-04-06,189.00,191.00,186.00,190.00,-0.52,"19,488.00","3,673,084.00"
61,61,2021-04-05,195.00,195.00,187.00,191.00,1.06,"13,927.00","2,626,520.00"
62,62,2021-04-04,193.00,196.00,187.00,189.00,-0.53,"21,934.00","4,172,374.00"
63,63,2021-04-01,185.00,191.00,185.00,190.00,1.60,"33,996.00","6,405,335.00"
64,64,2021-03-31,187.00,187.00,183.00,187.00,0.54,"13,186.00","2,447,704.00"
65,65,2021-03-30,187.00,187.00,182.00,186.00,0.54,"7,048.00","1,298,753.00"
66,66,2021-03-29,188.00,190.00,180.00,185.00,-0.54,"9,889.00","1,819,252.00"
67,67,2021-03-25,185.00,186.00,179.00,186.00,0.00,"28,175.00","5,125,068.00"
68,68,2021-03-24,183.00,188.00,183.00,186.00,0.00,"21,990.00","4,065,454.00"
69,69,2021-03-23,183.00,186.00,182.00,186.00,0.00,"12,885.00","2,376,667.00"
70,70,2021-03-22,190.00,190.00,182.00,186.00,-0.53,"3,299.00","608,390.00"
71,71,2021-03-21,182.00,189.00,182.00,187.00,2.75,"14,506.00","2,692,996.00"
72,72,2021-03-18,182.00,183.00,180.00,182.00,0.55,"7,568.00","1,376,457.00"
73,73,2021-03-17,189.00,189.00,177.00,181.00,0.56,"25,331.00","4,554,367.00"
74,74,2021-03-16,184.00,184.00,179.00,180.00,-0.55,"4,296.00","771,225.00"
75,75,2021-03-15,180.00,186.00,179.00,181.00,1.12,"24,120.00","4,370,450.00"
76,76,2021-03-14,184.00,184.00,179.00,179.00,-3.24,"4,896.00","882,372.00"
77,77,2021-03-10,182.00,185.00,182.00,185.00,0.00,"3,677.00","677,017.00"
78,78,2021-03-09,185.00,185.00,180.00,185.00,0.00,"3,070.00","565,820.00"
79,79,2021-03-07,192.00,192.00,183.00,185.00,-2.63,"18,922.00","3,498,005.00"
80,80,2021-03-04,186.00,191.00,182.00,190.00,3.26,"9,094.00","1,702,650.00"
81,81,2021-03-03,182.00,185.00,179.00,184.00,0.00,"16,815.00","3,058,977.00"
82,82,2021-03-02,193.00,193.00,183.00,184.00,-3.16,"12,436.00","2,336,961.00"
83,83,2021-03-01,185.00,192.00,182.00,190.00,2.70,"8,566.00","1,613,503.00"
84,84,2021-02-28,191.00,191.00,182.00,185.00,-3.14,"14,081.00","2,608,155.00"
85,85,2021-02-25,198.00,198.00,189.00,191.00,-2.55,"15,501.00","2,966,086.00"
86,86,2021-02-24,195.00,197.00,192.00,196.00,2.08,"25,416.00","4,948,381.00"
87,87,2021-02-23,192.00,194.00,189.00,192.00,-1.03,"11,280.00","2,155,310.00"
88,88,2021-02-22,197.00,197.00,193.00,194.00,-0.51,"21,120.00","4,111,795.00"
89,89,2021-02-21,198.00,199.00,190.00,195.00,-1.52,"71,396.00","13,843,459.00"
90,90,2021-02-18,194.00,199.00,194.00,198.00,2.59,"49,279.00","9,724,868.00"
91,91,2021-02-17,196.00,196.00,191.00,193.00,0.00,"12,612.00","2,430,442.00"
92,92,2021-02-16,198.00,199.00,189.00,193.00,-1.03,"30,189.00","5,855,275.00"
93,93,2021-02-15,193.00,196.00,193.00,195.00,1.56,"19,937.00","3,885,355.00"
94,94,2021-02-14,194.00,197.00,189.00,192.00,0.52,"10,768.00","2,055,099.00"
95,95,2021-02-11,200.00,200.00,191.00,191.00,0.00,"26,050.00","5,041,190.00"
96,96,2021-02-10,198.00,198.00,191.00,191.00,-2.05,"20,452.00","3,935,820.00"
97,97,2021-02-09,205.00,205.00,192.00,195.00,-2.50,"21,240.00","4,144,894.00"
98,98,2021-02-08,188.00,201.00,186.00,200.00,6.38,"49,152.00","9,492,811.00"
99,99,2021-02-07,192.00,193.00,187.00,188.00,-1.57,"18,729.00","3,551,350.00"
100,100,2021-02-04,190.00,193.00,185.00,191.00,0.00,"28,699.00","5,423,014.00"
101,101,2021-02-03,198.00,198.00,188.00,191.00,-2.05,"22,577.00","4,324,708.00"
102,102,2021-02-02,201.00,209.00,193.00,195.00,-1.52,"25,068.00","4,930,265.00"
103,103,2021-02-01,183.00,199.00,180.00,198.00,9.39,"112,767.00","22,007,689.00"
104,104,2021-01-31,188.00,188.00,178.00,181.00,-2.16,"12,065.00","2,193,120.00"
105,105,2021-01-28,196.00,196.00,179.00,185.00,-1.07,"53,553.00","9,972,804.00"
106,106,2021-01-27,185.00,194.00,182.00,187.00,1.08,"28,615.00","5,378,919.00"
107,107,2021-01-26,190.00,193.00,184.00,185.00,-2.63,"23,940.00","4,458,613.00"
108,108,2021-01-25,200.00,200.00,187.00,190.00,-5.47,"79,886.00","15,298,372.00"
109,109,2021-01-24,201.00,204.00,185.00,201.00,1.52,"52,438.00","10,110,824.00"
110,110,2021-01-21,194.00,201.00,191.00,198.00,7.03,"99,610.00","19,653,348.00"
111,111,2021-01-20,171.00,185.00,168.00,185.00,9.47,"184,987.00","33,472,088.00"
112,112,2021-01-19,173.00,173.00,163.00,169.00,-0.59,"23,296.00","3,906,222.00"
113,113,2021-01-18,171.00,172.00,166.00,170.00,0.59,"39,054.00","6,600,533.00"
114,114,2021-01-17,163.00,169.00,159.00,169.00,5.63,"35,869.00","5,835,592.00"
115,115,2021-01-13,165.00,165.00,158.00,160.00,-1.23,"25,325.00","4,066,289.00"
116,116,2021-01-12,158.00,162.00,154.00,162.00,2.53,"23,876.00","3,800,548.00"
117,117,2021-01-11,159.00,161.00,155.00,158.00,0.64,"8,990.00","1,414,066.00"
118,118,2021-01-10,157.00,160.00,154.00,157.00,1.95,"6,531.00","1,018,454.00"
119,119,2021-01-07,158.00,158.00,152.00,154.00,-0.65,"6,171.00","947,054.00"
120,120,2021-01-06,148.00,159.00,148.00,155.00,3.33,"6,750.00","1,050,415.00"
121,121,2021-01-05,150.00,152.00,148.00,150.00,-0.66,"9,965.00","1,495,133.00"
122,122,2021-01-04,152.00,153.00,150.00,151.00,0.00,"9,795.00","1,480,938.00"
123,123,2021-01-03,154.00,156.00,150.00,151.00,0.00,"6,823.00","1,032,776.00"
124,124,2020-12-31,147.00,151.00,147.00,151.00,2.03,"14,866.00","2,230,290.00"
125,125,2020-12-30,150.00,156.00,148.00,148.00,-1.33,"3,745.00","559,460.00"
126,126,2020-12-29,150.00,152.00,149.00,150.00,-0.66,"9,978.00","1,501,713.00"
127,127,2020-12-28,149.00,157.00,149.00,151.00,-0.66,"5,538.00","848,542.00"
128,128,2020-12-27,151.00,161.00,150.00,152.00,2.01,"8,523.00","1,329,683.00"
129,129,2020-12-24,150.00,153.00,149.00,149.00,-1.32,"5,972.00","898,332.00"
130,130,2020-12-23,155.00,155.00,147.00,151.00,-2.58,"12,285.00","1,840,243.00"
131,131,2020-12-22,157.00,157.00,152.00,155.00,0.65,"7,689.00","1,181,448.00"
132,132,2020-12-21,147.00,154.00,145.00,154.00,3.36,"9,665.00","1,423,587.00"
133,133,2020-12-20,153.00,153.00,148.00,149.00,-4.49,"11,451.00","1,718,976.00"
134,134,2020-12-17,160.00,162.00,156.00,156.00,-1.89,"2,809.00","441,549.00"
135,135,2020-12-16,162.00,165.00,156.00,159.00,0.00,"10,051.00","1,582,608.00"
136,136,2020-12-15,169.00,169.00,159.00,159.00,-4.22,"2,337.00","376,444.00"
137,137,2020-12-14,156.00,172.00,156.00,166.00,5.73,"10,185.00","1,617,648.00"
138,138,2020-12-13,155.00,158.00,154.00,157.00,1.29,"11,158.00","1,732,436.00"
139,139,2020-12-10,160.00,163.00,155.00,155.00,-3.73,"12,340.00","1,938,546.00"
140,140,2020-12-09,163.00,163.00,158.00,161.00,0.63,"5,128.00","820,787.00"
141,141,2020-12-08,168.00,168.00,157.00,160.00,0.00,"7,631.00","1,219,679.00"
142,142,2020-12-07,153.00,165.00,150.00,160.00,2.56,"17,138.00","2,669,972.00"
143,143,2020-12-06,164.00,167.00,156.00,156.00,-4.88,"13,644.00","2,159,836.00"
144,144,2020-12-03,165.00,166.00,164.00,164.00,-0.61,"4,532.00","745,638.00"
145,145,2020-12-02,166.00,168.00,164.00,165.00,-0.60,"13,523.00","2,239,284.00"
146,146,2020-12-01,170.00,173.00,166.00,166.00,-2.92,"14,557.00","2,462,021.00"
147,147,2020-11-30,183.00,186.00,167.00,171.00,-2.29,"36,345.00","6,306,844.00"
148,148,2020-11-29,167.00,176.00,164.00,175.00,6.71,"35,167.00","5,983,803.00"
149,149,2020-11-26,172.00,175.00,163.00,164.00,-2.96,"15,687.00","2,596,255.00"
150,150,2020-11-25,170.00,173.00,164.00,169.00,1.20,"17,714.00","2,960,629.00"
151,151,2020-11-24,164.00,172.00,164.00,167.00,1.83,"29,169.00","4,872,412.00"
152,152,2020-11-23,166.00,175.00,164.00,164.00,-1.20,"18,200.00","3,027,034.00"
153,153,2020-11-22,164.00,174.00,164.00,166.00,-0.60,"18,345.00","3,060,493.00"
154,154,2020-11-19,164.00,169.00,164.00,167.00,0.00,"29,117.00","4,857,445.00"
155,155,2020-11-18,173.00,173.00,161.00,167.00,-5.11,"40,900.00","6,855,782.00"
156,156,2020-11-12,180.00,180.00,172.00,176.00,-1.68,"41,180.00","7,186,113.00"
157,157,2020-11-11,172.00,179.00,169.00,179.00,4.07,"42,684.00","7,476,012.00"
158,158,2020-11-10,175.00,175.00,166.00,172.00,-0.58,"63,566.00","10,850,020.00"
159,159,2020-11-09,178.00,178.00,172.00,173.00,-1.70,"23,106.00","4,043,617.00"
160,160,2020-11-08,178.00,180.00,164.00,176.00,0.57,"87,925.00","15,355,413.00"
161,161,2020-11-05,158.00,175.00,158.00,175.00,9.38,"55,030.00","9,117,542.00"
162,162,2020-11-04,159.00,162.00,159.00,160.00,-1.23,"10,184.00","1,630,216.00"
163,163,2020-11-03,164.00,165.00,161.00,162.00,-0.61,"6,298.00","1,023,084.00"
164,164,2020-11-02,159.00,165.00,159.00,163.00,0.62,"6,998.00","1,126,304.00"
165,165,2020-11-01,158.00,165.00,158.00,162.00,1.25,"9,506.00","1,542,261.00"
166,166,2020-10-29,169.00,170.00,160.00,160.00,-3.61,"32,785.00","5,314,354.00"
167,167,2020-10-28,163.00,168.00,157.00,166.00,1.84,"30,440.00","4,913,650.00"
168,168,2020-10-22,160.00,164.00,160.00,163.00,1.88,"6,086.00","991,603.00"
169,169,2020-10-21,160.00,167.00,160.00,160.00,-1.84,"8,555.00","1,401,431.00"
170,170,2020-10-20,162.00,166.00,160.00,163.00,2.52,"7,833.00","1,267,427.00"
171,171,2020-10-19,154.00,161.00,154.00,159.00,2.58,"3,894.00","611,461.00"
172,172,2020-10-18,159.00,160.00,152.00,155.00,-2.52,"9,055.00","1,403,765.00"
173,173,2020-10-15,163.00,172.00,156.00,159.00,-0.63,"16,307.00","2,590,504.00"
174,174,2020-10-14,163.00,164.00,160.00,160.00,-3.61,"6,977.00","1,126,492.00"
175,175,2020-10-13,172.00,178.00,164.00,166.00,-2.35,"27,502.00","4,676,537.00"
176,176,2020-10-12,169.00,177.00,157.00,170.00,2.41,"53,885.00","9,141,414.00"
177,177,2020-10-11,167.00,172.00,161.00,166.00,-1.78,"18,883.00","3,127,188.00"
178,178,2020-10-08,168.00,173.00,164.00,169.00,2.42,"80,138.00","13,547,637.00"
179,179,2020-10-07,158.00,174.00,154.00,165.00,3.13,"78,836.00","12,953,600.00"
180,180,2020-10-06,157.00,160.00,154.00,160.00,0.00,"20,168.00","3,177,583.00"
181,181,2020-10-05,158.00,160.00,154.00,160.00,2.56,"11,474.00","1,809,361.00"
182,182,2020-10-04,151.00,161.00,151.00,156.00,4.70,"39,801.00","6,234,930.00"
183,183,2020-10-01,153.00,153.00,146.00,149.00,-0.67,"16,781.00","2,501,959.00"
184,184,2020-09-30,142.00,153.00,140.00,150.00,7.14,"26,680.00","3,890,391.00"
185,185,2020-09-29,135.00,142.00,132.00,140.00,2.94,"18,846.00","2,602,376.00"
186,186,2020-09-28,137.00,138.00,135.00,136.00,0.74,"7,376.00","1,004,601.00"
187,187,2020-09-27,138.00,140.00,135.00,135.00,-0.74,"12,261.00","1,684,140.00"
188,188,2020-09-24,136.00,136.00,134.00,136.00,-0.73,"7,105.00","961,629.00"
189,189,2020-09-23,131.00,139.00,129.00,137.00,3.01,"3,904.00","516,053.00"
190,190,2020-09-22,140.00,140.00,133.00,133.00,-3.62,"3,897.00","529,013.00"
191,191,2020-09-21,132.00,142.00,132.00,138.00,3.76,"11,766.00","1,630,016.00"
192,192,2020-09-20,141.00,141.00,133.00,133.00,-1.48,"24,889.00","3,389,541.00"
193,193,2020-09-17,130.00,136.00,125.00,135.00,8.87,"19,551.00","2,597,461.00"
194,194,2020-09-16,126.00,126.00,124.00,124.00,-1.59,"1,355.00","169,070.00"
195,195,2020-09-15,128.00,130.00,126.00,126.00,-1.56,"1,404.00","179,960.00"
196,196,2020-09-14,125.00,128.00,125.00,128.00,1.59,"3,162.00","395,906.00"
197,197,2020-09-13,122.00,130.00,122.00,126.00,1.61,"3,974.00","491,152.00"
198,198,2020-09-10,128.00,128.00,123.00,124.00,-2.36,"1,863.00","231,022.00"
199,199,2020-09-09,126.00,127.00,121.00,127.00,1.60,"4,872.00","598,026.00"
200,200,2020-09-08,125.00,125.00,125.00,125.00,-1.57,458.00,"57,250.00"
201,201,2020-09-07,125.00,127.00,123.00,127.00,0.79,"3,382.00","419,950.00"
202,202,2020-09-06,131.00,133.00,125.00,126.00,0.80,"3,601.00","456,629.00"
203,203,2020-09-03,127.00,127.00,125.00,125.00,-1.57,"3,344.00","421,674.00"
204,204,2020-09-02,126.00,127.00,124.00,127.00,2.42,"6,388.00","800,021.00"
205,205,2020-08-31,126.00,127.00,124.00,124.00,-2.36,"2,898.00","363,412.00"
206,206,2020-08-30,125.00,127.00,125.00,127.00,0.00,"1,040.00","130,040.00"
207,207,2020-08-27,127.00,129.00,123.00,127.00,-1.55,"4,873.00","616,581.00"
208,208,2020-08-26,135.00,135.00,124.00,129.00,0.00,"2,241.00","287,524.00"
209,209,2020-08-25,126.00,131.00,125.00,129.00,4.03,"3,234.00","414,397.00"
210,210,2020-08-24,122.00,130.00,122.00,124.00,0.00,"1,840.00","231,082.00"
211,211,2020-08-20,125.00,125.00,124.00,124.00,0.00,154.00,"19,116.00"
212,212,2020-08-19,126.00,127.00,124.00,124.00,-3.13,582.00,"73,318.00"
213,213,2020-08-18,125.00,128.00,122.00,128.00,1.59,"4,714.00","588,821.00"
214,214,2020-08-17,124.00,130.00,124.00,126.00,2.44,"1,841.00","230,720.00"
215,215,2020-08-16,124.00,127.00,122.00,123.00,-2.38,"6,560.00","813,720.00"
216,216,2020-08-13,127.00,129.00,126.00,126.00,0.80,"2,110.00","268,590.00"
217,217,2020-08-12,126.00,127.00,125.00,125.00,-1.57,"1,321.00","166,221.00"
218,218,2020-08-11,127.00,130.00,126.00,127.00,-0.78,"3,363.00","428,300.00"
219,219,2020-08-10,126.00,133.00,125.00,128.00,0.79,"3,293.00","420,017.00"
220,220,2020-08-09,129.00,131.00,125.00,127.00,0.00,"1,322.00","167,170.00"
221,221,2020-08-06,124.00,127.00,122.00,127.00,4.10,"2,395.00","298,177.00"
222,222,2020-08-05,129.00,129.00,120.00,122.00,-4.69,"1,709.00","211,996.00"
223,223,2020-08-03,129.00,132.00,126.00,128.00,-0.78,"1,789.00","229,248.00"
224,224,2020-08-02,127.00,135.00,127.00,129.00,0.78,"2,926.00","379,706.00"
225,225,2020-07-30,127.00,130.00,127.00,128.00,0.00,"1,420.00","181,560.00"
226,226,2020-07-29,129.00,130.00,126.00,128.00,-1.54,580.00,"73,990.00"
227,227,2020-07-28,130.00,131.00,125.00,130.00,1.56,"3,177.00","407,236.00"
228,228,2020-07-27,131.00,132.00,128.00,128.00,-1.54,"1,679.00","216,176.00"
229,229,2020-07-26,125.00,131.00,125.00,130.00,4.00,898.00,"115,576.00"
230,230,2020-07-23,133.00,133.00,125.00,125.00,-4.58,"5,442.00","696,478.00"
231,231,2020-07-22,129.00,133.00,129.00,131.00,1.55,195.00,"25,235.00"
232,232,2020-07-21,131.00,134.00,129.00,129.00,-3.01,"4,810.00","630,847.00"
233,233,2020-07-20,135.00,139.00,133.00,133.00,0.00,"8,684.00","1,175,234.00"
234,234,2020-07-16,134.00,134.00,133.00,133.00,-0.75,213.00,"28,439.00"
235,235,2020-07-15,132.00,134.00,132.00,134.00,1.52,"2,747.00","365,218.00"
236,236,2020-07-14,130.00,132.00,128.00,132.00,3.13,"1,000.00","130,669.00"
237,237,2020-07-13,133.00,133.00,125.00,128.00,-5.19,"2,853.00","366,872.00"
238,238,2020-07-12,133.00,135.00,127.00,135.00,3.05,"1,339.00","173,760.00"
239,239,2020-07-09,125.00,133.00,125.00,131.00,4.80,"4,021.00","516,573.00"
240,240,2020-07-08,125.00,125.00,123.00,125.00,0.00,620.00,"77,260.00"
241,241,2020-07-07,122.00,125.00,122.00,125.00,4.17,"1,825.00","224,563.00"
242,242,2020-07-06,120.00,120.00,120.00,120.00,0.00,105.00,"12,600.00"
243,243,2020-06-29,120.00,120.00,120.00,120.00,-1.64,400.00,"48,000.00"
244,244,2020-05-12,123.00,123.00,122.00,122.00,-2.40,40.00,"4,900.00"
245,245,2020-03-22,129.00,131.00,125.00,125.00,-1.57,"1,772.00","223,424.00"
246,246,2020-03-19,132.00,132.00,127.00,127.00,-5.22,"5,151.00","658,145.00"
247,247,2020-03-18,128.00,134.00,126.00,134.00,3.08,"5,429.00","697,651.00"
248,248,2020-03-17,128.00,130.00,124.00,130.00,0.00,"1,970.00","247,667.00"
249,249,2020-03-16,133.00,135.00,125.00,130.00,-0.76,"4,051.00","527,462.00"
250,250,2020-03-15,130.00,134.00,127.00,131.00,0.77,"7,885.00","1,026,160.00"
251,251,2020-03-12,138.00,138.00,128.00,130.00,-7.14,"17,567.00","2,320,210.00"
252,252,2020-03-11,130.00,140.00,130.00,140.00,7.69,"1,230.00","166,460.00"
253,253,2020-03-05,130.00,132.00,130.00,130.00,-1.52,"1,820.00","237,720.00"
254,254,2020-03-04,146.00,146.00,131.00,132.00,-8.33,"3,455.00","465,585.00"
255,255,2020-03-03,138.00,144.00,138.00,144.00,2.86,"1,461.00","204,378.00"
256,256,2020-03-02,142.00,142.00,138.00,140.00,-2.78,"8,525.00","1,203,200.00"
257,257,2020-03-01,150.00,153.00,144.00,144.00,-4.00,"29,557.00","4,385,076.00"
258,258,2020-02-27,144.00,153.00,144.00,150.00,2.74,"13,166.00","1,954,833.00"
259,259,2020-02-26,154.00,154.00,146.00,146.00,-0.68,"13,073.00","1,936,567.00"
260,260,2020-02-25,145.00,147.00,144.00,147.00,1.38,"4,017.00","584,472.00"
261,261,2020-02-24,149.00,158.00,145.00,145.00,-1.36,"12,198.00","1,838,632.00"
262,262,2020-02-23,142.00,147.00,138.00,147.00,5.00,"18,513.00","2,637,277.00"
263,263,2020-02-20,135.00,141.00,135.00,140.00,2.94,"9,737.00","1,354,107.00"
264,264,2020-02-19,135.00,138.00,134.00,136.00,0.00,"26,499.00","3,561,486.00"
265,265,2020-02-18,132.00,139.00,131.00,136.00,2.26,"11,821.00","1,592,751.00"
266,266,2020-02-17,135.00,135.00,131.00,133.00,0.00,"3,420.00","452,559.00"
267,267,2020-02-16,135.00,135.00,130.00,133.00,-0.75,"7,811.00","1,026,922.00"
268,268,2020-02-13,133.00,134.00,132.00,134.00,-0.74,"1,966.00","261,829.00"
269,269,2020-02-12,137.00,137.00,135.00,135.00,0.00,"2,600.00","353,400.00"
270,270,2020-02-11,134.00,136.00,134.00,135.00,0.00,"4,496.00","609,066.00"
271,271,2020-02-10,130.00,136.00,130.00,135.00,2.27,"1,680.00","223,870.00"
272,272,2020-02-09,138.00,140.00,130.00,132.00,-2.94,"5,205.00","702,026.00"
273,273,2020-02-06,135.00,137.00,134.00,136.00,-0.73,"4,589.00","620,071.00"
274,274,2020-02-05,135.00,137.00,134.00,137.00,1.48,"2,742.00","372,390.00"
275,275,2020-02-04,135.00,143.00,134.00,135.00,1.50,"12,733.00","1,755,750.00"
276,276,2020-02-03,134.00,134.00,130.00,133.00,0.76,"5,460.00","720,575.00"
277,277,2020-02-02,130.00,132.00,130.00,132.00,3.13,878.00,"115,160.00"
278,278,2020-01-30,128.00,132.00,128.00,128.00,0.00,"4,834.00","622,236.00"
279,279,2020-01-29,128.00,128.00,127.00,128.00,0.00,"1,250.00","159,950.00"
280,280,2020-01-28,130.00,132.00,128.00,128.00,-3.03,"9,468.00","1,220,730.00"
281,281,2020-01-27,128.00,132.00,126.00,132.00,3.94,"1,880.00","240,870.00"
282,282,2020-01-26,129.00,129.00,126.00,127.00,-0.78,"6,190.00","788,207.00"
283,283,2020-01-23,133.00,133.00,128.00,128.00,-2.29,"7,044.00","919,002.00"
284,284,2020-01-22,133.00,133.00,131.00,131.00,-2.96,800.00,"105,140.00"
285,285,2020-01-21,142.00,142.00,131.00,135.00,-3.57,"5,919.00","795,033.00"
286,286,2020-01-20,146.00,147.00,138.00,140.00,-3.45,"3,071.00","443,016.00"
287,287,2020-01-19,137.00,145.00,137.00,145.00,7.41,"14,466.00","2,028,372.00"
288,288,2020-01-16,134.00,138.00,134.00,135.00,2.27,"28,444.00","3,868,056.00"
289,289,2020-01-15,130.00,132.00,126.00,132.00,3.13,"4,081.00","531,344.00"
290,290,2020-01-14,126.00,128.00,124.00,128.00,0.00,170.00,"21,420.00"
291,291,2020-01-13,123.00,132.00,123.00,128.00,5.79,"12,535.00","1,590,915.00"
292,292,2020-01-12,122.00,126.00,121.00,121.00,-1.63,"5,426.00","672,121.00"
293,293,2020-01-09,122.00,123.00,122.00,123.00,0.00,833.00,"102,226.00"
294,294,2020-01-08,120.00,127.00,120.00,123.00,1.65,980.00,"118,520.00"
295,295,2020-01-07,124.00,124.00,120.00,121.00,-0.82,"2,195.00","268,280.00"
296,296,2020-01-06,119.00,122.00,118.00,122.00,4.27,"7,228.00","867,673.00"
297,297,2020-01-05,117.00,118.00,117.00,117.00,0.00,"2,505.00","294,259.00"
298,298,2020-01-02,119.00,119.00,117.00,117.00,-0.85,"2,142.00","251,536.00"
299,299,2020-01-01,118.00,119.00,116.00,118.00,-10.61,"3,211.00","377,348.00"
